"May 28, 2017",19,"Al Franken, Giant of the Senate",Al Franken,Twelve,Tina Bennett
"May 28, 2017",20,The Secrets of Story,Matt Bird,Writer's Digest Books,Dorian Karchmar
"June 4, 2017",1,"Al Franken, Giant of the Senate",Al Franken,Twelve,Robert Barnett
"June 4, 2017",2,Astrophysics for People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,Betsy Lerner
"June 4, 2017",3,Theft by Finding,David Sedaris,"Little, Brown and Company",Cristina Concepcion
"June 4, 2017",4,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperOne,Mollie Glick
"June 4, 2017",5,The Blue Zones Solution,Dan Buettner,National Geographic,Chris Calhoun
"June 4, 2017",6,Hillbilly Elegy,J.D. Vance,Harper,Tina Bennett
"June 4, 2017",7,On Tyranny,Timothy Snyder,Tim Duggan Books,Tina Bennett
"June 4, 2017",8,Option B,Sheryl Sandberg & Adam Grant,Knopf,Jennifer Rudolph Walsh
"June 4, 2017",9,She Persisted,Chelsea Clinton,Philomel Books,Peter McGuigan
"June 4, 2017",10,Born a Crime,Trevor Noah,Spiegel & Grau,Matt Latimer & Keith Urbahn
"June 4, 2017",11,Make Your Bed,William H. McRaven,Grand Central Publishing,Peter Steinberg
"June 4, 2017",12,The Vanishing American Adult,Ben Sasse,St. Martin's Griffin,James Bell
"June 4, 2017",13,You Are a Badass,Jen Sincero,Running Press,Marc Gerald
"June 4, 2017",14,The 5 Love Languages,Gary D. Chapman,Northfield Publishing,Kathy Robbins
"June 4, 2017",15,Sapiens,Yuval Noah Harari,Harper,Robert Barnett
"June 4, 2017",16,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,Betsy Lerner
"June 4, 2017",17,The 5 Second Rule,Mel Robbins,Savio Republic,Cristina Concepcion
"June 4, 2017",18,Beyond Band of Brothers,Dick Winters & Cole C. Kingseed,Caliber,Mollie Glick
"June 4, 2017",19,Killers of the Flower Moon,David Grann,Doubleday,Chris Calhoun
"June 4, 2017",20,The Night Shift,Brian Goldman,Harper Perennial,Tina Bennett
"June 11, 2017",1,I Can't Make This Up,Kevin Hart,Atria / 37 Ink,Marc Gerald
"June 11, 2017",2,"Al Franken, Giant of the Senate",Al Franken,Twelve,Robert Barnett
"June 11, 2017",3,Astrophysics for People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,Betsy Lerner
"June 11, 2017",4,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperOne,Mollie Glick
"June 11, 2017",5,Dangerous,Milo Yiannopoulos,Dangerous Books,Thomas Flannery Jr.
"June 11, 2017",6,Hillbilly Elegy,J.D. Vance,Harper,Tina Bennett
"June 11, 2017",7,Make Your Bed,William H. McRaven,Grand Central Publishing,Cristina Concepcion
"June 11, 2017",8,Theft by Finding,David Sedaris,"Little, Brown and Company",James Bell
"June 11, 2017",9,The 5 Love Languages,Gary D. Chapman,Northfield Publishing,Peter Steinberg
"June 11, 2017",10,You Are a Badass,Jen Sincero,Running Press,Jennifer Rudolph Walsh
"June 11, 2017",11,Option B,Sheryl Sandberg & Adam Grant,Knopf,Tina Bennett
"June 11, 2017",12,Sapiens,Yuval Noah Harari,Harper,Marc Gerald
"June 11, 2017",13,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,Peter McGuigan
"June 11, 2017",14,On Tyranny,Timothy Snyder,Tim Duggan Books,Jan Miller
"June 11, 2017",15,The 5 Second Rule,Mel Robbins,Savio Republic,Lauren Paverman
"June 11, 2017",16,Born a Crime,Trevor Noah,Spiegel & Grau,Katinka Matson
"June 11, 2017",17,She Persisted,Chelsea Clinton,Philomel Books,Marc Gerald
"June 11, 2017",18,The 7 Habits of Highly Effective People,Stephen R. Covey,RosettaBooks,Robert Barnett
"June 11, 2017",19,My Lucky Life In and Out of Show Business,Dick Van Dyke,Crown Archetype,Betsy Lerner
"June 11, 2017",20,Words on the Move,John McWhorter,Henry Holt and Co.,Mollie Glick
"June 18, 2017",1,"Al Franken, Giant of the Senate",Al Franken,Twelve,Robert Barnett
"June 18, 2017",2,I Can't Make This Up,Kevin Hart,Atria / 37 Ink,Marc Gerald
"June 18, 2017",3,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperOne,Mollie Glick
"June 18, 2017",4,Astrophysics for People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,Betsy Lerner
"June 18, 2017",5,Hillbilly Elegy,J.D. Vance,Harper,Tina Bennett
"June 18, 2017",6,Alex & Me,Irene Pepperberg,HarperCollins e-books,Laura Langlie
"June 18, 2017",7,Island of the Lost,Joan Druett,Algonquin Books,Cristina Concepcion
"June 18, 2017",8,Theft by Finding,David Sedaris,"Little, Brown and Company",Maria Massie
"June 18, 2017",9,Understanding Trump,Newt Gingrich & Eric Trump,Center Street,Peter McGuigan
"June 18, 2017",10,Make Your Bed,William H. McRaven,Grand Central Publishing,James Bell
"June 18, 2017",11,Hunger,Roxane Gay,Harper,Marc Gerald
"June 18, 2017",12,Born a Crime,Trevor Noah,Spiegel & Grau,Peter Steinberg
"June 18, 2017",13,The 5 Love Languages,Gary D. Chapman,Northfield Publishing,Kathy Robbins
"June 18, 2017",14,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,Jennifer Rudolph Walsh
"June 18, 2017",15,The 5 Second Rule,Mel Robbins,Savio Republic,Robert Barnett
"June 18, 2017",16,You Are a Badass,Jen Sincero,Running Press,Marc Gerald
"June 18, 2017",17,Killers of the Flower Moon,David Grann,Doubleday,Mollie Glick
"June 18, 2017",18,Option B,Sheryl Sandberg & Adam Grant,Knopf,Betsy Lerner
"June 18, 2017",19,Sapiens,Yuval Noah Harari,Harper,Tina Bennett
"June 18, 2017",20,Thomas Jefferson,Jon Meacham,Random House,Laura Langlie
"June 25, 2017",1,Hillbilly Elegy,J.D. Vance,Harper,Tina Bennett
"June 25, 2017",2,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperOne,Mollie Glick
"June 25, 2017",3,I Can't Make This Up,Kevin Hart,Atria / 37 Ink,Marc Gerald
"June 25, 2017",4,"Al Franken, Giant of the Senate",Al Franken,Twelve,Robert Barnett
"June 25, 2017",5,Astrophysics for People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,Betsy Lerner
"June 25, 2017",6,The Magnolia Story,"Chip Gaines, Joanna Gaines & Mark Dagostino",Thomas Nelson,Marc Gerald
"June 25, 2017",7,The 5 Second Rule,Mel Robbins,Savio Republic,Kathy Robbins
"June 25, 2017",8,Killers of the Flower Moon,David Grann,Doubleday,Cristina Concepcion
"June 25, 2017",9,Rediscovering Americanism,Mark R. Levin,Threshold Editions,Peter McGuigan
"June 25, 2017",10,Your Move,Ramit Sethi,Growth Lab,James Bell
"June 25, 2017",11,Theft by Finding,David Sedaris,"Little, Brown and Company",Jennifer Rudolph Walsh
"June 25, 2017",12,Born a Crime,Trevor Noah,Spiegel & Grau,Peter Steinberg
"June 25, 2017",13,The 5 Love Languages,Gary D. Chapman,Northfield Publishing,Jan Miller
"June 25, 2017",14,Understanding Trump,Newt Gingrich & Eric Trump,Center Street,Tina Bennett
"June 25, 2017",15,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,Mollie Glick
"June 25, 2017",16,Option B,Sheryl Sandberg & Adam Grant,Knopf,Marc Gerald
"June 25, 2017",17,You Are a Badass,Jen Sincero,Running Press,Robert Barnett
"June 25, 2017",18,Make Your Bed,William H. McRaven,Grand Central Publishing,Betsy Lerner
"June 25, 2017",19,Sapiens,Yuval Noah Harari,Harper,Marc Gerald
"June 25, 2017",20,The 7 Habits of Highly Effective People,Stephen R. Covey,RosettaBooks,Kathy Robbins
"July 2, 2017",1,Hillbilly Elegy,J.D. Vance,Harper,Tina Bennett
"July 2, 2017",2,Rediscovering Americanism,Mark R. Levin,Threshold Editions,Mollie Glick
"July 2, 2017",3,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperOne,Marc Gerald
"July 2, 2017",4,I Can't Make This Up,Kevin Hart,Atria / 37 Ink,Betsy Lerner
"July 2, 2017",5,Astrophysics for People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,Robert Barnett
"July 2, 2017",6,"Al Franken, Giant of the Senate",Al Franken,Twelve,Eric Lupfer
"July 2, 2017",7,The Swamp,Eric Bolling,St. Martin's Press,Elizabeth Evans
"July 2, 2017",8,Homo Deus,Yuval Noah Harari,Harper,Marc Gerald
"July 2, 2017",9,Everybody Lies,Seth Stephens-Davidowitz,Dey Street Books,Peter McGuigan
"July 2, 2017",10,Dead Run,Dan Schultz,St. Martin's Press,James Bell
"July 2, 2017",11,The Lose Your Belly Diet,Travis Stork,Ghost Mountain Books,Jennifer Rudolph Walsh
"July 2, 2017",12,The 5 Second Rule,Mel Robbins,Savio Republic,Cristina Concepcion
"July 2, 2017",13,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,Peter Steinberg
"July 2, 2017",14,Born a Crime,Trevor Noah,Spiegel & Grau,Kathy Robbins
"July 2, 2017",15,The 5 Love Languages,Gary D. Chapman,Northfield Publishing,Tina Bennett
"July 2, 2017",16,Option B,Sheryl Sandberg & Adam Grant,Knopf,Mollie Glick
"July 2, 2017",17,Theft by Finding,David Sedaris,"Little, Brown and Company",Marc Gerald
"July 2, 2017",18,You Are a Badass,Jen Sincero,Running Press,Betsy Lerner
"July 2, 2017",19,Understanding Trump,Newt Gingrich & Eric Trump,Center Street,Robert Barnett
"July 2, 2017",20,Killers of the Flower Moon,David Grann,Doubleday,Eric Lupfer
"July 9, 2017",1,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperOne,Mollie Glick
"July 9, 2017",2,Hillbilly Elegy,J.D. Vance,Harper,Tina Bennett
"July 9, 2017",3,Astrophysics for People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,Betsy Lerner
"July 9, 2017",4,I Can't Make This Up,Kevin Hart,Atria / 37 Ink,Marc Gerald
"July 9, 2017",5,Dangerous,Milo Yiannopoulos,Dangerous Books,Thomas Flannery Jr.
"July 9, 2017",6,"Al Franken, Giant of the Senate",Al Franken,Twelve,Robert Barnett
"July 9, 2017",7,Rediscovering Americanism,Mark R. Levin,Threshold Editions,Kari Stuart
"July 9, 2017",8,Danielle Walker's Against All Grain Celebrations,Danielle Walker,Ten Speed Press,Marc Gerald
"July 9, 2017",9,The 5 Second Rule,Mel Robbins,Savio Republic,Jan Miller
"July 9, 2017",10,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,James Bell
"July 9, 2017",11,The 7 Habits of Highly Effective People,Stephen R. Covey,RosettaBooks,Peter McGuigan
"July 9, 2017",12,The 5 Love Languages,Gary D. Chapman,Northfield Publishing,Peter Steinberg
"July 9, 2017",13,Born a Crime,Trevor Noah,Spiegel & Grau,Neil Gudovitz
"July 9, 2017",14,You Are a Badass,Jen Sincero,Running Press,Jennifer Rudolph Walsh
"July 9, 2017",15,Sapiens,Yuval Noah Harari,Harper,Kathy Robbins
"July 9, 2017",16,Man's Search For Meaning,Viktor E. Frankl,Beacon Press,Mollie Glick
"July 9, 2017",17,The Life-Changing Magic of Tidying Up,Marie Kondō,Ten Speed Press,Tina Bennett
"July 9, 2017",18,Seven Brief Lessons on Physics,Carlo Rovelli,Riverhead Books,Betsy Lerner
"July 9, 2017",19,Option B,Sheryl Sandberg & Adam Grant,Knopf,Marc Gerald
"July 9, 2017",20,Killers of the Flower Moon,David Grann,Doubleday,Thomas Flannery Jr.
"July 16, 2017",1,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperOne,Mollie Glick
"July 16, 2017",2,Hillbilly Elegy,J.D. Vance,Harper,Tina Bennett
"July 16, 2017",3,Instant Pot® Electric Pressure Cooker Cookbook,Laurel Randolph,Rockridge Press,Danielle Chiotti
"July 16, 2017",4,Astrophysics for People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,Betsy Lerner
"July 16, 2017",5,I Can't Make This Up,Kevin Hart,Atria / 37 Ink,Marc Gerald
"July 16, 2017",6,"Al Franken, Giant of the Senate",Al Franken,Twelve,Robert Barnett
